Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Someday I Will Treat You Good	Sparklehorse	Mark Linkous	Vivadixiesubmarinetransmissionplot						Rock	7882224	220	1	1	14	16	1995	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Six O'Clock News	Kathleen Edwards	Kathleen Edwards	Failer						Pop	9730512	276	1	1	1	10	2002	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Light of a Clear Blue Morning	Dolly Parton	Dolly Parton	New Harvest...First Gathering						Country	11085191	296	1	1	1	10	1977	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
First Day of the Rest of Our Lives	MxPx	Mike Herrera	Before Everything & After						Rock	6922029	180	1	1	6	16	2003	8/11/25, 9:32 AM		256	44100		Apple Music AAC audio file			3	8/12/25, 10:51 AM			
Chasing Rainbows	No Use for a Name		More Betterness!						Alternative	6554815	169	1	1	3	14	1999	8/11/25, 9:41 AM		256	44100		Apple Music AAC audio file			3	8/12/25, 10:54 AM			
I Believe I Can Fly	Me First and The Gimme Gimmes		Take a Break						Alternative	6902970	181	1	1	8	13	2003	8/11/25, 10:28 AM		256	44100		Apple Music AAC audio file			3	8/12/25, 10:57 AM			
That's the Way the World Goes Round	John Prine	John Prine	Bruised Orange						Rock	7070942	200	1	1	4	10	1978	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Pokin' Round In the Ashes	Adam Carroll	Adam Carroll	South of Town						Singer/Songwriter	6312662	175	1	1	11	12	2001	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Dust Bowl	Ethel Cain	Canaan Amber, Clay E. Parton & Hayden Anhedönia	Willoughby Tucker, I'll Always Love You						Alternative	13326674	386	1	1	6	10	2025	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Scarface (Alex Goose Instrumental Remix)	Freddie Gibbs, Alex Goose & Madlib	Freddie Gibbs & Otis Jackson	Piñata (Deluxe Edition)						Hip-Hop	3861747	98	5	5	1	15	2014	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Theme De Crabtree	Madlib		Sound Ancestors						Electronic	5090551	136	1	1	3	16	2021	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Harpsichord Session	Karriem Riggins		Alone Together						Hip-Hop/Rap	4618443	122	1	1	13	34	2012	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Round the Outside	Karriem Riggins		Alone Together						Hip-Hop/Rap	3545007	90	1	1	2	34	2012	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Best in Show Pt. IV	Viagra Boys	Sebastian Murphy, Henrik Höckert, Tor Sjödén, Elias Jungqvist, Oskar Carls, Linus Hillborg & Pelle Gunnerfeldt	viagr aboys						Punk	12194667	328	1	1	10	11	2025	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
Gold (Radio Edit)	Art of Tones	Ludovic Llorca	Gold - Single						House	7952093	202	1	1	3	3	2025	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
I Don't Believe You	Cory Hanson	Cory Hanson	I Love People						Singer/Songwriter	5986527	155	1	1	4	11	2025	8/13/25, 12:27 PM		256	44100		Apple Music AAC audio file							
